Metric,albedo,emissivity,CE,CH,rso_scale,cloud_scale,wind_exponent,Qsw,Qlw,Qe,Qh,Qnet,Residual_W_m2
Spring,0.1,0.99,0.00156,0.00156,0.9,0.8,0.16666666666666666,134.52698670494033,-48.512554365178346,-31.448744452663757,1.4850897922683408,56.05077767936656,
Spring,0.1,0.99,0.00156,0.00156,0.9,1.2,0.125,134.52698670494033,-28.46178806393158,-29.408952868288786,1.3887656396501098,78.04501141237006,
Spring,0.1,0.99,0.00156,0.00156,0.9,1.2,0.16666666666666666,134.52698670494033,-28.46178806393158,-31.448744452663757,1.4850897922683408,76.10154398061333,
Spring,0.1,0.99,0.00156,0.00156,1.1,0.8,0.125,134.52698670494033,-45.94557228255559,-29.408952868288786,1.3887656396501098,60.56122719374606,
Spring,0.1,0.99,0.00156,0.00156,1.1,0.8,0.16666666666666666,134.52698670494033,-45.94557228255559,-31.448744452663757,1.4850897922683408,58.61775976198932,
Spring,0.1,0.99,0.00156,0.00156,1.1,1.2,0.125,134.52698670494033,-24.475085420505934,-29.408952868288786,1.3887656396501098,82.0317140557957,
Spring,0.1,0.99,0.00156,0.00156,1.1,1.2,0.16666666666666666,134.52698670494033,-24.475085420505934,-31.448744452663757,1.4850897922683408,80.08824662403897,
Summer,0.05,0.96,0.00104,0.00104,0.9,0.8,0.125,154.15268019038984,-11.69720553042822,-39.14450879280899,-0.22838905429968803,103.08257681285295,
Summer,0.05,0.96,0.00104,0.00104,0.9,0.8,0.16666666666666666,154.15268019038984,-11.69720553042822,-41.85955410461134,-0.244230015146213,100.35169054020407,
Summer,0.05,0.96,0.00104,0.00104,0.9,1.2,0.125,154.15268019038984,-3.1967274635246667,-39.14450879280899,-0.22838905429968803,111.5830548797565,
Summer,0.05,0.96,0.00104,0.00104,0.9,1.2,0.16666666666666666,154.15268019038984,-3.1967274635246667,-41.85955410461134,-0.244230015146213,108.85216860710763,
Summer,0.05,0.96,0.00104,0.00104,1.1,0.8,0.125,154.15268019038984,-8.906413527145787,-39.14450879280899,-0.22838905429968803,105.87336881613538,
Summer,0.05,0.96,0.00104,0.00104,1.1,0.8,0.16666666666666666,154.15268019038984,-8.906413527145787,-41.85955410461134,-0.244230015146213,103.14248254348651,
Summer,0.05,0.96,0.00104,0.00104,1.1,1.2,0.125,154.15268019038984,-0.5307110202938929,-39.14450879280899,-0.22838905429968803,114.24907132298728,
Summer,0.05,0.96,0.00104,0.00104,1.1,1.2,0.16666666666666666,154.15268019038984,-0.5307110202938929,-41.85955410461134,-0.244230015146213,111.5181850503384,
Summer,0.05,0.96,0.00104,0.00156,0.9,0.8,0.125,154.15268019038984,-11.69720553042822,-39.14450879280899,-0.34258358144953205,102.9683822857031,
Summer,0.05,0.96,0.00104,0.00156,0.9,0.8,0.16666666666666666,154.15268019038984,-11.69720553042822,-41.85955410461134,-0.3663450227193195,100.22957553263097,
Summer,0.05,0.96,0.00104,0.00156,0.9,1.2,0.125,154.15268019038984,-3.1967274635246667,-39.14450879280899,-0.34258358144953205,111.46886035260665,
Summer,0.05,0.96,0.00104,0.00156,0.9,1.2,0.16666666666666666,154.15268019038984,-3.1967274635246667,-41.85955410461134,-0.3663450227193195,108.73005359953453,
Summer,0.05,0.96,0.00104,0.00156,1.1,0.8,0.125,154.15268019038984,-8.906413527145787,-39.14450879280899,-0.34258358144953205,105.75917428898553,
Summer,0.05,0.96,0.00104,0.00156,1.1,0.8,0.16666666666666666,154.15268019038984,-8.906413527145787,-41.85955410461134,-0.3663450227193195,103.02036753591341,
Summer,0.05,0.96,0.00104,0.00156,1.1,1.2,0.125,154.15268019038984,-0.5307110202938929,-39.14450879280899,-0.34258358144953205,114.13487679583743,
Summer,0.05,0.96,0.00104,0.00156,1.1,1.2,0.16666666666666666,154.15268019038984,-0.5307110202938929,-41.85955410461134,-0.3663450227193195,111.3960700427653,
Summer,0.05,0.96,0.00156,0.00104,0.9,0.8,0.125,154.15268019038984,-11.69720553042822,-58.716763189213495,-0.22838905429968803,83.51032241644845,
Summer,0.05,0.96,0.00156,0.00104,0.9,0.8,0.16666666666666666,154.15268019038984,-11.69720553042822,-62.78933115691702,-0.244230015146213,79.42191348789838,
Summer,0.05,0.96,0.00156,0.00104,0.9,1.2,0.125,154.15268019038984,-3.1967274635246667,-58.716763189213495,-0.22838905429968803,92.010800483352,
