Date,St(J/m2),N2_max(1/s2),log10_Rib,St_24h,N2_max_24h,log10_Rib_med24h
2024-11-25 01:00:00,0.005148811521551083,6.629600271448439e-05,2.453680962528592,0.012689218826849489,7.668335368824788e-05,1.3309145716762154
2024-11-25 02:00:00,0.011878487894676451,7.222095370549454e-05,1.2075825837262175,0.013110934180502442,7.735363145096747e-05,1.3309145716762154
2024-11-25 03:00:00,0.013167041118362116,7.350667604441442e-05,1.471945289232479,0.01397720863827126,7.890007230914503e-05,1.3309145716762154
2024-11-25 04:00:00,0.00908222588948485,7.13651430515849e-05,0.40315151356076995,0.014188937502811472,7.947322803534678e-05,1.3309145716762154
2024-11-25 05:00:00,0.0187570668233057,9.640627896972805e-05,1.3428943927482049,0.01445922832413449,8.009731307909955e-05,1.3309145716762154
2024-11-25 06:00:00,0.01796239973107812,8.615070390544945e-05,1.5572892609875633,0.014441676813358796,8.05431248478297e-05,1.3428943927482049
2024-11-25 07:00:00,0.012143553412084099,7.240554389179603e-05,1.1743439146753043,0.01433989750076175,8.035563266912847e-05,1.3309145716762154
2024-11-25 08:00:00,0.012899318423839734,7.388385864862828e-05,0.9524362369927235,0.0142494984112476,8.089076408873004e-05,1.318934750604226
2024-11-25 09:00:00,0.02123606570090455,9.356552875136061e-05,1.1329907759693179,0.014020394544588524,8.026636916703465e-05,1.314800707078028
2024-11-25 10:00:00,0.03200672838768665,0.00012088545438296667,1.31066666355183,0.0138392862984498,7.987995091825939e-05,1.2838620468246602
2024-11-25 11:00:00,0.019776451243720683,9.513982704732278e-05,0.8747197275798088,0.013787728287794102,7.974563689054677e-05,1.2838620468246602
2024-11-25 12:00:00,0.016527479929590184,8.838001869585964e-05,1.318934750604226,0.013622951203099655,7.989352845107213e-05,1.31066666355183
2024-11-25 13:00:00,0.025672792448769816,0.0001026324634654229,1.8269412877778406,0.013894963349997652,8.021003322542827e-05,1.2838620468246602
2024-11-25 14:00:00,0.03432379235113083,0.00011901901057123535,1.5055128649404264,0.013922602763519844,7.977390028505283e-05,1.2838620468246602
2024-11-25 15:00:00,0.0112963729994082,7.92205049388165e-05,1.199754753270466,0.013714404145694838,7.892736614488072e-05,1.2838620468246602
2024-11-25 16:00:00,0.01561103584596235,7.965560599926175e-05,0.7871828673543868,0.013316732935910501,7.753196978664712e-05,1.2570574300974902
2024-11-25 17:00:00,0.00922189370018495,7.709928805794299e-05,1.9811011626761559,0.013204634429475648,7.715603547601316e-05,1.2838620468246602
2024-11-25 18:00:00,0.0029874082000455,6.178305143751264e-05,1.2570574300974902,0.01271608047363326,7.540748201860196e-05,1.2838620468246602
2024-11-25 19:00:00,0.007674200531374117,7.735305103988293e-05,,0.012355804489157957,7.447785696245556e-05,1.2838620468246602
2024-11-25 20:00:00,0.0027311004923809665,5.7209325312687555e-05,,0.012318656842079978,7.445807448005504e-05,1.31066666355183
2024-11-25 21:00:00,0.006087679609723134,6.139329795190566e-05,1.2374295592542777,0.01329470333637353,7.672756849751485e-05,1.318934750604226
2024-11-25 22:00:00,0.0084292752706143,7.260578132480795e-05,1.6759990638243702,0.01328634034214529,7.534915408470941e-05,1.4383706588946836
2024-11-25 23:00:00,0.0029203860188713997,4.906106669169065e-05,,0.01306002152174198,7.464323996943375e-05,1.5055128649404264
2024-11-26 00:00:00,0.01593755285519388,7.78023608100218e-05,,0.013943242761100138,7.703281381081544e-05,1.5300533169452724
2024-11-26 01:00:00,0.005812157446083683,5.582881214547391e-05,2.084350939174813,0.017264276374755295,8.442801534734491e-05,1.67110570894148
2024-11-26 02:00:00,0.0068817210668762835,5.190413434136366e-05,1.087340343781888,0.02369379046437203,9.81768791930634e-05,1.67110570894148
2024-11-26 03:00:00,0.003622932083538033,4.0017163446808185e-05,,0.03124421203030309,0.00011519790191571678,1.6759990638243702
2024-11-26 04:00:00,0.006391861735048383,6.234271959637005e-05,,0.03894547136819041,0.000134521811094339,1.7327909969250606
2024-11-26 05:00:00,0.007031771883088384,5.4440995991859056e-05,1.67110570894148,0.04401729109040598,0.00015106042120942046,1.9762664754369188
2024-11-26 06:00:00,0.009315776103670834,6.383970255793595e-05,1.4383706588946836,0.046091151299850946,0.00015637339825530408,1.863886972863528
2024-11-26 07:00:00,0.0112520098822126,7.193076431418342e-05,,0.046403179037014665,0.00015677524210252962,1.863886972863528
2024-11-26 08:00:00,0.03632443428688497,0.00012835171506766382,3.0901858318459814,0.04637450895498346,0.00015652296174693882,1.7983389848942943
2024-11-26 09:00:00,0.021035353839426816,6.048358284403016e-05,1.7327909969250606,0.04655128855226975,0.000156757931036125,1.7983389848942943
2024-11-26 10:00:00,0.026575076698007183,0.00010394351561635082,1.9762664754369188,0.04676529683255759,0.00015729320657718345,1.7983389848942943
2024-11-26 11:00:00,0.04097376098831655,0.00015248959924048333,1.5300533169452724,0.04676213527050116,0.00015674310086884427,1.7983389848942943
2024-11-26 12:00:00,0.09623228665731386,0.00026586485557256667,2.267639278903195,0.046961244088392494,0.00015697714953728377,1.7829804748669396
2024-11-26 13:00:00,0.17998113059957146,0.0004326051957626667,2.5970463576923972,0.04664948732730939,0.00015637352962725686,1.7829804748669396
2024-11-26 14:00:00,0.21553390993347632,0.0005275235559149167,2.7834784299716717,0.0469805281053172,0.0001570141363973627,1.7829804748669396
2024-11-26 15:00:00,0.19612659710870384,0.00054299432522575,3.2665442308315047,0.047035549475521375,0.00015737034733333288,1.7829804748669396
